CantidadDeBeneficiarios,CantidadBeneficioConsolidado,CantidadUltimobeneficio,CodigoDepartamentoAtencion,CodigoMunicipioAtencion,CondicionSexual,Discapacidad,EstadoBeneficiario,EstadoCivil,Etnia,FechaInscripcionBeneficiario,FechaUltimoBeneficioAsignado,Genero,NivelEscolaridad,NombreDepartamentoAtencion,NombreMunicipioAtencion,Pais,RangoEdad,TipoAsignacionBeneficio,TipoBeneficio,TipoDocumento,TipoPoblacion,ValorBeneficioConsolidadoAsignado,ValorUltimoBeneficioAsignado
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),CAUCA,POPAYÁN,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),CAUCA,POPAYÁN,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),CAUCA,POPAYÁN,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),CAUCA,POPAYÁN,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Soltero(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),CAUCA,POPAYÁN,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,54,54001,No responde,NO,VINCULADOINSCRITO,Separado(a) o divorciado(a),ND,2022-01-01,1900-01-01,Mujer,Media (o  o),NORTE DE SANTANDER,CÚCUTA,Colombia,30-49,ND,ND,CC,DOBLE CONDICION,0 - 1.500.000,0 - 1.300.000
1,1,1,76,76823,Heterosexual,NO,RETIRADO,Casado(a),ND,2018-01-01,1900-01-01,Mujer,Media (o  o),VALLE DEL CAUCA,TORO,Colombia,30-49,ND,ND,CC,VULNERABLE,0 - 1.500.000,0 - 1.300.000
1,1,1,05,05541,Heterosexual,NO,RETIRADO,Unión libre,ND,2018-01-01,1900-01-01,Mujer,Básica Secundaria (o  o),ANTIOQUIA,PEÑOL,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,05,05541,Heterosexual,NO,RETIRADO,Unión libre,ND,2018-01-01,1900-01-01,Mujer,Básica Secundaria (o  o),ANTIOQUIA,PEÑOL,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
1,1,1,19,19001,Heterosexual,NO,VINCULADOINSCRITO,Unión libre,ND,2022-01-01,1900-01-01,Hombre,Técnico o tecnológico (),CAUCA,POPAYÁN,Colombia,30-49,ND,ND,CC,DESPLAZADOS,0 - 1.500.000,0 - 1.300.000
